SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_023626015.1_ASM2362601v1,Talaromyces sp. P2101,PF2101,PRJNA833221,2940371,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. P2101,fFUN1866
GCA_023626055.1_ASM2362605v1,Talaromyces sp. PF2101,X2403,PRJNA833221,2940369,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PF2101,fFUN1867
GCA_023626295.1_ASM2362629v1,Talaromyces sp. PF30-10,PF30-1C,PRJNA833221,2940358,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PF30-10,fFUN1868
GCA_023626275.1_ASM2362627v1,Talaromyces sp. PF30-1C,PF30-5,PRJNA833221,2940356,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PF30-1C,fFUN1869
GCA_023626315.1_ASM2362631v1,Talaromyces sp. PF30-1D,PG4302,PRJNA833221,2940357,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PF30-1D,fFUN1870
GCA_023626375.1_ASM2362637v1,Talaromyces sp. PF30-5,S1602,PRJNA833221,2940354,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PF30-5,fFUN1871
GCA_023625995.1_ASM2362599v1,Talaromyces sp. PF3502,PM2405,PRJNA833221,2940370,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PF3502,fFUN1872
GCA_023626335.1_ASM2362633v1,Talaromyces sp. PG4302,PT3601,PRJNA833221,2940355,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PG4302,fFUN1873
GCA_023625955.1_ASM2362595v1,Talaromyces sp. PH2104,PT2101,PRJNA833221,2940374,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PH2104,fFUN1874
GCA_023626215.1_ASM2362621v1,Talaromyces sp. PL2406,B14P1,PRJNA833221,2940363,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PL2406,fFUN1875
GCA_023626075.1_ASM2362607v1,Talaromyces sp. PM2405,R2405,PRJNA833221,2940368,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PM2405,fFUN1876
GCA_023626035.1_ASM2362603v1,Talaromyces sp. PT2101,PF3502,PRJNA833221,2940372,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PT2101,fFUN1877
GCA_023626395.1_ASM2362639v1,Talaromyces sp. PT3601,M1327,PRJNA833221,2940353,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PT3601,fFUN1878
GCA_023626175.1_ASM2362617v1,Talaromyces sp. PX1902,PX2802,PRJNA833221,2940362,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PX1902,fFUN1879
GCA_023626115.1_ASM2362611v1,Talaromyces sp. PX2406,PL2406,PRJNA833221,2940365,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PX2406,fFUN1880
GCA_023626255.1_ASM2362625v1,Talaromyces sp. PX2802,PF30-10,PRJNA833221,2940360,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PX2802,fFUN1881
GCA_023625975.1_ASM2362597v1,Talaromyces sp. PYS2103,P2101,PRJNA833221,2940373,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PYS2103,fFUN1882
GCA_023626235.1_ASM2362623v1,Talaromyces sp. PYS2902,PF30-1D,PRJNA833221,2940359,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. PYS2902,fFUN1883
GCA_023626155.1_ASM2362615v1,Talaromyces sp. R2405,R2412,PRJNA833221,2940366,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. R2405,fFUN1884
GCA_023626135.1_ASM2362613v1,Talaromyces sp. R2412,PX1902,PRJNA833221,2940364,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. R2412,fFUN1885
GCA_038993655.1_ASM3899365v1,Talaromyces sp. SJ9,SJ9,PRJNA1090279,3134886,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. SJ9,fWJX25
GCA_040669935.1_ASM4066993v1,Talaromyces sp. UPCC,UPCC,PRJNA1109622,3161998,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. UPCC,fFUN1886
GCA_023626095.1_ASM2362609v1,Talaromyces sp. X2403,PX2406,PRJNA833221,2940367,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sp. X2403,fFUN1887
GCF_000003125.1_JCVI-TSTA1-3.0,Talaromyces stipitatus ATCC 10500,ATCC 10500,PRJNA19557,441959,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces stipitatus,fTSTA
GCA_037040825.1_ASM3704082v1,Talaromyces stollii,P8401,PRJNA833221,1266822,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces stollii,fFUN1888
GCA_019828575.1_ASM1982857v1,Talaromyces thailandensis,OC-R06-P5,PRJNA644637,1297587,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces thailandensis,fICW40
GCA_020137715.1_BUMICRO_TalaroTrachy_1.1,Talaromyces trachyspermus,4014,PRJNA650128,28566,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces trachyspermus,fH4N52
GCA_040333175.1_ASM4033317v1,Talaromyces variabilis,HXQ-H-1,PRJNA1116794,28576,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces variabilis,fFUN1889
GCA_001305275.1_ASM130527v1,Talaromyces verruculosus,TS63-9,PRJNA291496,198730,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces verruculosus,fZTR
GCA_001939245.1_ASM193924v1,Talaromyces wortmannii,LMB-HP14,PRJNA300345,28567,dikarya,Ascomycota,,Eurotiomycetes,,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces wortmannii,fLQ910
GCA_008802775.1_ASM880277v1,Taphrina betulina,UCD315,PRJNA564291,203079,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina betulina,fF1B91
GCA_005281525.1_ASM528152v1,Taphrina communis,CBS 352.35,PRJNA299790,71559,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina communis,fASB54
GCA_005281535.1_ASM528153v1,Taphrina confusa,CBS 375.39,PRJNA299790,203082,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina confusa,fASB54
GCA_005281575.1_ASM528157v1,Taphrina deformans,CBS 355.35,PRJNA299790,5011,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina deformans,fASB54
GCA_000836175.1_Tf_assembly_v1.1,Taphrina flavorubra JCM 22207,JCM 22207,PRJDB1591,1450759,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina flavorubra,fFUN1890
GCA_000836195.1_Tp_assembly_v1.1,Taphrina populina JCM 22190,JCM 22190,PRJDB1592,1450760,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina populina,fFUN1891
GCA_005281585.1_ASM528158v1,Taphrina pruni,CBS 358.35,PRJNA299790,48692,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina pruni,fASB54
GCA_004000165.1_ASM400016v1,Taphrina sp. SM11,SM11,PRJNA487587,2305253,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina sp. SM11,fD1G34
GCA_005281515.1_ASM528151v1,Taphrina wiesneri,CBS 275.28,PRJNA299790,5012,dikarya,Ascomycota,,Taphrinomycetes,,Taphrinales,Taphrinaceae,Taphrina,Taphrina wiesneri,fASB54
GCA_038086965.1_TarDepauwii_NCPF13064,Tardiomyces depauwii (nom. inval.),NCPF13064,PRJNA1009997,3071767,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,,,Tardiomyces depauwii (nom. inval.),fRDV87
GCA_040368585.1_JCM_10408_assembly_v001,Tausonia pamirica,JCM 10408,PRJDB3689,415705,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia pamirica,fFUN1892
GCA_951802195.1_gfTauPull1.1,Tausonia pullulans,,PRJEB61351;PRJEB62630,82525,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia pullulans,fNCTC86
GCA_023646325.1_KEW_Tfla,Teloschistes flavicans,LIQ145TFLA,PRJNA783777,442469,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Teloschistes,Teloschistes flavicans,fLQ352
GCA_023645835.1_KEW_Tper,Teloschistes peruensis,LIQ70TSP,PRJNA783777,2903223,dikarya,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Teloschistes,Teloschistes peruensis,fLQ352
GCA_018858115.1_ASM1885811v1,Tephrocybe rancida,TRssc25,PRJNA417766,117070,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe rancida,fJYA90
GCA_018221635.1_ASM1822163v1,Tephrocybe sp. 10521TJB,D62,PRJNA417766,2724998,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. 10521TJB,fJYA90
GCA_018850275.1_ASM1885027v1,Tephrocybe sp. 9174TJB,D64,PRJNA417766,2724997,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. 9174TJB,fJYA90
GCA_018220975.1_ASM1822097v1,Tephrocybe sp. 9980TJB,D63,PRJNA417766,2724995,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. 9980TJB,fJYA90
GCA_018855915.1_ASM1885591v1,Tephrocybe sp. NHM501043,D31,PRJNA417766,2724996,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Tephrocybe,Tephrocybe sp. NHM501043,fJYA90
GCA_024811115.1_FSU_Tcaeru_v2,Terana caerulea,CBS 452.86,PRJNA803050,1647800,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Phanerochaetaceae,Terana,Terana caerulea,fL9I79
GCA_010367425.1_ASM1036742v1,Teratosphaeria destructans,CMW45982,PRJNA575157,418781,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria destructans,fTdes45982
GCA_021401465.1_ASM2140146v1,Teratosphaeria epicoccoides,CMW31933,PRJNA665608,470147,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria epicoccoides,fTepi31933
GCA_021028865.1_ASM2102886v1,Teratosphaeria eucalypti,CMW55930,PRJNA759074,467805,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria eucalypti,fTeuc55930
GCA_007113925.1_ASM711392v1,Teratosphaeria gauchensis,CMW 17545,PRJNA544635,405846,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria gauchensis,fTgau17545
GCA_010093825.1_Ternu1,Teratosphaeria nubilosa,CBS 116005,PRJNA245625,161662,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria nubilosa,fEJ03
GCA_013403795.1_ASM1340379v1,Teratosphaeria pseudoeucalypti,CMW51515,PRJNA625190,690873,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria pseudoeucalypti,fTpse51515
GCA_020826765.1_ASM2082676v1,Teratosphaeria viscida,CMW51324,PRJNA732287,1818021,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria viscida,fTvis51324
GCA_007113905.1_ASM711390v1,Teratosphaeria zuluensis,CMW 17320,PRJNA544628,658931,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria zuluensis,fTzul17320
GCA_033119285.1_ASM3311928v1,Teratosphaeriaceae sp. CCFEE 6253,CCFEE 6253,PRJNA666634,2901253,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,,Teratosphaeriaceae sp. CCFEE 6253,fLTS18
GCA_003788615.2_Terbo2,Terfezia boudieri ATCC MYA-4762,ATCC MYA-4762,PRJNA200599,1051890,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Pezizaceae,Terfezia,Terfezia boudieri,fL211
GCA_015179025.1_Tercla1,Terfezia claveryi,T7,PRJNA340578,139407,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Pezizaceae,Terfezia,Terfezia claveryi,fBGX38
GCA_027475525.1_NeiJiang_Talb_v1.0_genomic,Termitomyces albuminosus,NeiJiang_2021,PRJNA848423,79931,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces albuminosus,fNFC76
GCA_017580835.1_ASM1758083v1,Termitomyces bulborhizus,K109284,PRJNA417766,858892,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces bulborhizus,fJYA90
GCA_003316525.1_ASM331652v1,Termitomyces eurrhizus,MG13,PRJNA454572,171347,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces eurrhizus,fFUN1893
GCA_003313675.1_ASM331367v1,Termitomyces heimii,MG15,PRJNA454572,71929,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces heimii,fFUN1894
GCA_020091625.1_ASM2009162v1,Termitomyces sp. 'cryptogamus',P5,PRJNA648478,2788930,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. 'cryptogamus',fH2248
GCA_018851325.1_ASM1885132v1,Termitomyces sp. DKA19,DKA19,PRJNA417766,2727724,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. DKA19,fJYA90
GCA_017657295.1_ASM1765729v1,Termitomyces sp. DKA64,DKA64,PRJNA417766,2811476,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. DKA64,fJYA90
GCA_001263195.1_TerJ1321.0,Termitomyces sp. J132,J132,PRJNA193471,1306850,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. J132,fJ132
GCA_001972325.1_JCM_13351_assembly_v001,Termitomyces sp. JCM 13351,JCM 13351,PRJDB3801,1635102,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. JCM 13351,fFUN1895
GCA_018221735.1_ASM1822173v1,Termitomyces sp. K1Aa,D41,PRJNA417766,2724994,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. K1Aa,fJYA90
GCA_017657355.1_ASM1765735v1,Termitomyces sp. K1Ac,K1Ac,PRJNA417766,2811473,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. K1Ac,fJYA90
GCA_017657315.1_ASM1765731v1,Termitomyces sp. K1Ag,K1Ag,PRJNA417766,1075695,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. K1Ag,fJYA90
GCA_003313055.1_ASM331305v1,Termitomyces sp. MG145,MG145,PRJNA454572,2175966,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. MG145,fFUN1896
GCA_003313785.1_ASM331378v1,Termitomyces sp. MG148,MG148,PRJNA454572,2175965,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. MG148,fFUN1897
GCA_003313075.1_ASM331307v1,Termitomyces sp. MG16,MG16,PRJNA454572,2175964,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. MG16,fFUN1898
GCA_018857285.1_ASM1885728v1,Termitomyces sp. Mi166#008,Mi166#008,PRJNA417766,2053460,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. Mi166#008,fJYA90
GCA_017607575.1_ASM1760757v1,Termitomyces sp. Mn162,Mn162,PRJNA417766,2053456,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. Mn162,fJYA90
GCA_017657275.1_ASM1765727v1,Termitomyces sp. T108,T108,PRJNA417766,2811475,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T108,fJYA90
GCA_018296085.1_ASM1829608v1,Termitomyces sp. T112,T112,PRJNA529327,1850345,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T112,fE4T57
GCA_018849495.1_ASM1884949v1,Termitomyces sp. T123_Mx157,T123_Mx157,PRJNA417766,2053457,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T123_Mx157,fJYA90
GCA_018296165.2_ASM1829616v2,Termitomyces sp. T153,T153,PRJNA529327,1857762,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T153,fE4T57
GCA_018857305.1_ASM1885730v1,Termitomyces sp. T159_Od127,T159_Od127,PRJNA417766,2053459,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T159_Od127,fJYA90
GCA_017657375.1_ASM1765737v1,Termitomyces sp. T27,T27,PRJNA417766,2811477,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T27,fJYA90
GCA_018857265.1_ASM1885726v1,Termitomyces sp. T32_za158,T32_za158,PRJNA417766,2053458,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T32_za158,fJYA90
GCA_017657225.1_ASM1765722v1,Termitomyces sp. T69sscA,T69sscA,PRJNA417766,2811470,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T69sscA,fJYA90
GCA_017657195.1_ASM1765719v1,Termitomyces sp. T70a,T70a,PRJNA417766,2811474,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T70a,fJYA90
GCA_017657235.1_ASM1765723v1,Termitomyces sp. T73sscA,T73sscA,PRJNA417766,2811469,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces sp. T73sscA,fJYA90
GCA_017657335.1_ASM1765733v1,Termitomyces titanicus,K142416,PRJNA417766,201775,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Termitomyces,Termitomyces titanicus,fJYA90
GCA_027603945.1_ASM2760394v1,Terramyces sp. JEL0728,JEL0728,PRJNA619748,2724204,fungi,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,Terramycetaceae,Terramyces,Terramyces sp. JEL0728,fHDV01
GCA_003144125.1_Tescy1,Testicularia cyperi,MCA 3645,PRJNA330884,1882483,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Anthracoideaceae,Testicularia,Testicularia cyperi,fBCV70
GCA_037074945.1_ASM3707494v1,Tetracladium marchalianum,CBS 439.51,PRJNA1063930,164538,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Tetracladium,Tetracladium marchalianum,fVRZ93
GCA_037074925.1_T_max,Tetracladium maxilliforme,P2R61M,PRJNA1063930,164539,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Tetracladium,Tetracladium maxilliforme,fVRZ93
GCA_031472005.1_ASM3147200v1,Tetracladium setigerum,NNIBRFG1997,PRJNA445924,164540,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Tetracladium,Tetracladium setigerum,fC9428
GCA_030557565.1_ASM3055756v1,Tetrapisispora arboricola,NRRL Y-27308,PRJNA736342,113605,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora arboricola,fFUN1899
GCA_003707605.2_ASM370760v2,Tetrapisispora fleetii,NRRL Y-27350,PRJNA429441,300277,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora fleetii,fFUN1900
GCA_003705975.2_ASM370597v2,Tetrapisispora iriomotensis,NRRL Y-27309,PRJNA429441,113606,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora iriomotensis,fFUN1901
GCA_003705985.2_ASM370598v2,Tetrapisispora namnaoensis,NRRL Y-27982,PRJNA429441,279732,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora namnaoensis,fFUN1902
GCA_030568035.1_ASM3056803v1,Tetrapisispora nanseiensis,NRRL Y-27310,PRJNA736342,113607,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora nanseiensis,fFUN1903
GCF_000236905.1_ASM23690v1,Tetrapisispora phaffii CBS 4417,type strain:CBS 4417,PRJEA70965,1071381,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora phaffii,fTPHA
GCA_030573885.1_ASM3057388v1,Tetrapisispora pingtungensis (nom. inval.),CBS 12780,PRJNA736342,1321244,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora pingtungensis (nom. inval.),fFUN1904
GCA_030573835.1_ASM3057383v1,Tetrapisispora taiwanensis (nom. inval.),CBS 10586,PRJNA736342,1321243,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora taiwanensis (nom. inval.),fFUN1905
GCA_013368315.1_LU_TEN_1.0,Tetrapyrgos nigripes,CBS 291.85,PRJNA496464,182062,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Marasmiaceae,Tetrapyrgos,Tetrapyrgos nigripes,fD9758
GCA_030581575.1_ASM3058157v1,Teunomyces aglyptinius,NRRL Y-27935,PRJNA736342,392262,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces aglyptinius,fFUN1906
GCA_030574975.1_ASM3057497v1,Teunomyces atbi,NRRL Y-27651,PRJNA736342,348314,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces atbi,fFUN1907
GCA_030568385.1_ASM3056838v1,Teunomyces barrocoloradensis,NRRL Y-27934,PRJNA736342,392261,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces barrocoloradensis,fFUN1908
GCA_003706575.2_ASM370657v2,Teunomyces cretensis,NRRL Y-27777,PRJNA429441,268492,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces cretensis,fFUN1909
GCA_030558095.1_ASM3055809v1,Teunomyces funiuensis,CBS 13911,PRJNA736342,1548787,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces funiuensis,fFUN1910
GCA_003706565.3_ASM370656v3,Teunomyces gatunensis,NRRL Y-48064,PRJNA429441,392264,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces gatunensis,fFUN1911
GCA_003706535.2_ASM370653v2,Teunomyces kruisii,NRRL Y-17087,PRJNA429441,45561,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces kruisii,fFUN1912
GCA_030574955.1_ASM3057495v1,Teunomyces lycoperdinae,NRRL Y-27658,PRJNA736342,297653,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces lycoperdinae,fFUN1913
GCA_030556435.1_ASM3055643v1,Teunomyces pallodes,NRRL Y-27653,PRJNA736342,348313,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces pallodes,fFUN1914
GCA_030564025.1_ASM3056402v1,Teunomyces panamensis,NRRL Y-27657,PRJNA736342,297651,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces panamensis,fFUN1915
GCA_030563165.1_ASM3056316v1,Teunomyces stri,NRRL Y-48063,PRJNA736342,392263,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces stri,fFUN1916
GCA_030568455.1_ASM3056845v1,Teunomyces tritomae,NRRL Y-27650,PRJNA736342,348312,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Teunomyces,Teunomyces tritomae,fFUN1917
GCA_025201345.1_Thaele1,Thamnidium elegans,NRRL 2467,PRJNA332251,101142,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Thamnidium,Thamnidium elegans,fBDF21
GCA_003614735.1_Thasp1,Thamnocephalis sphaerospora,RSA 1356,PRJNA421763,78915,fungi,Zoopagomycota,,Zoopagomycetes,,Zoopagales,Sigmoideomycetaceae,Thamnocephalis,Thamnocephalis sphaerospora,fTHASP1
